title,url,price,location,year,mileage
BMW X1 xDrive23d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive23d-automatik-oglas-51042110,41.000 €,"Vrgorac, Vrgorac",2023,63.000 km
BMW X1 sDRIVE 18i - X LINE 2023 GOD - LED - GARANCIJA - NOVO!!,https://www.njuskalo.hr/auti/bmw-x1-sdrive-18i-x-line-2023-god-led-garancija-oglas-47283224,41.000 €,"Varaždin, Centar",2023,26.000 km
"BMW X1 sDrive 2.0d M sport,HUD,Panorama,Harman-kardon",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-43551255,41.000 €,"Sisak, Centar",2022,51.000 km
BMW X1 xDrive20d,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-50139182,41.251 €,Njemačka,2023,43.500 km
-AKCIJA- BMW X1 2.0 D xDrive 20d 4x4 M-Sportpaket Shadow -Full LED-,https://www.njuskalo.hr/auti/bmw-x1-2.0-d-xdrive-20d-4x4-automatik-m-sportpaket-shadow-full-led-oglas-50255598,41.990 €,"Stenjevec, Jankomir",2024,95.740 km
BMW X1 xDrive30e automatik M sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive30e-automatik-m-sport-oglas-48451155,41.999 €,"Konavle, Gruda",2025,25.000 km
BMW X1 xDrive20d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-49822370,42.080 €,Njemačka,2024,25.400 km
BMW X1 23 d xDrive xLine,https://www.njuskalo.hr/auti/bmw-x1-23-d-xdrive-xline-oglas-49963070,42.530 €,Njemačka,2024,70.500 km
BMW X1 xDrive20d,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-49848184,42.714 €,Njemačka,2024,22.451 km
BMW X1 X-DRIVE20D 2024 M-SPORT SERVISNA JAMSTVO U DOLASKU,https://www.njuskalo.hr/auti/bmw-x1-x-drive20d-2024-m-sport-servisna-jamstvo-dolasku-oglas-51054914,42.900 €,"Pula, Vidikovac",2024,83.461 km
"BMW X1 xDrive20d M SPORT, TVORNIČKA GARANCIJA + SET ZIMSKIH KOTAČA",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-50833043,42.900 €,"Stenjevec, Stenjevec",2024,82.100 km
BMW X1 20d xDrive,https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-oglas-49836083,42.900 €,,2024,98.531 km
